HomeParkZipCode,HomeParkInseeCode,nom_commune_postal,latitude,longitude,code_departement,nom_departement,code_region,JobParkZipCode,JobParkInseeCode
01240,01235,MARLIEUX,46.0549073186,5.0741150816,01,Ain,84,17260,17469
01340,01236,MARSONNAS,46.3409117711,5.06434294764,01,Ain,84,10400,10231
01100,01237,MARTIGNAT,46.2030768095,5.61384033805,01,Ain,84,14350,14061
01600,01238,MASSIEUX,45.9094016817,4.82779660051,01,Ain,84,02260,02276
01300,01239,MASSIGNIEU DE RIVES,45.7571503942,5.7620535823,01,Ain,84,03230,03283
01580,01240,MATAFELON GRANGES,46.2565319445,5.53958933702,01,Ain,84,21220,21182
01580,01240,MATAFELON GRANGES,46.2565319445,5.53958933702,01,Ain,84,02550,02574
01370,01241,MEILLONNAS,46.244997627,5.33594738489,01,Ain,84,22630,22352
01450,01242,MERIGNAT,46.0648564341,5.44210660051,01,Ain,84,24170,24122
01480,01243,MESSIMY SUR SAONE,46.0472670758,4.75935643933,01,Ain,84,16140,16221
01800,01244,MEXIMIEUX,45.9060530318,5.20404833653,01,Ain,84,14130,14578
01250,01245,BOHAS MEYRIAT RIGNAT,46.1427060662,5.3780109646,01,Ain,84,16130,16316
01250,01245,BOHAS MEYRIAT RIGNAT,46.1427060662,5.3780109646,01,Ain,84,01600,01339
01250,01245,BOHAS MEYRIAT RIGNAT,46.1427060662,5.3780109646,01,Ain,84,14510,14305
01660,01246,MEZERIAT,46.2423102101,5.04725416984,01,Ain,84,24250,24575
01170,01247,MIJOUX,46.3622451724,6.00902631941,01,Ain,84,08260,08189
01410,01247,MIJOUX,46.3622451724,6.00902631941,01,Ain,84,01430,01067
01390,01248,MIONNAY,45.8955939299,4.92416967439,01,Ain,84,14250,14661
01700,01249,MIRIBEL,45.8442099203,4.94106746787,01,Ain,84,21360,21588
01700,01249,MIRIBEL,45.8442099203,4.94106746787,01,Ain,84,24120,24179
01700,01249,MIRIBEL,45.8442099203,4.94106746787,01,Ain,84,24700,24494
01600,01250,MISERIEUX,45.9762325343,4.81028471711,01,Ain,84,22450,22381
01140,01252,MOGNENEINS,46.1446696076,4.820110702,01,Ain,84,21320,21652
01250,01254,MONTAGNAT,46.1686969123,5.27962107938,01,Ain,84,25870,25035
01470,01255,MONTAGNIEU,45.799449019,5.46428608859,01,Ain,84,12150,12270
01200,01257,MONTANGES,46.17325293,5.79006091307,01,Ain,84,03330,03108
01090,01258,MONTCEAUX,46.0962893261,4.80453564172,01,Ain,84,24800,24496
01310,01259,MONTCET,46.219333227,5.11149132074,01,Ain,84,06190,06104
01800,01260,LE MONTELLIER,45.9287482486,5.07092815964,01,Ain,84,02880,02698
01390,01261,MONTHIEUX,45.9622791838,4.94555984534,01,Ain,84,43450,15105
01120,01262,MONTLUEL,45.8909006209,5.01987566185,01,Ain,84,16430,16415
01120,01262,MONTLUEL,45.8909006209,5.01987566185,01,Ain,84,03190,03213
01120,01262,MONTLUEL,45.8909006209,5.01987566185,01,Ain,84,10130,10133
01090,01263,MONTMERLE SUR SAONE,46.0849573236,4.7608579486,01,Ain,84,23800,23065
01310,01264,MONTRACOL,46.1867200301,5.11706011755,01,Ain,84,02850,02051
01460,01265,MONTREAL LA CLUSE,46.1795688194,5.59510550127,01,Ain,84,02340,02819
01340,01266,MONTREVEL EN BRESSE,46.3252811442,5.11295966315,01,Ain,84,02240,02732
01460,01267,NURIEUX VOLOGNAT,46.1830720992,5.51435812316,01,Ain,84,03700,03271
01460,01267,NURIEUX VOLOGNAT,46.1830720992,5.51435812316,01,Ain,84,02880,02243
01300,01268,MURS ET GELIGNIEUX,45.6420014274,5.66039684889,01,Ain,84,08240,08437
01130,01269,NANTUA,46.1537845403,5.61352793799,01,Ain,84,02200,02089
01460,01269,NANTUA,46.1537845403,5.61352793799,01,Ain,84,01640,01199
01400,01272,NEUVILLE LES DAMES,46.1567753049,5.00942432434,01,Ain,84,12170,12075
01160,01273,NEUVILLE SUR AIN,46.0909654813,5.37349784691,01,Ain,84,16170,16123
01130,01274,LES NEYROLLES,46.1342937114,5.63714517869,01,Ain,84,15150,15217
01700,01275,NEYRON,45.8184192468,4.9309045685,01,Ain,84,07450,07282
01120,01276,NIEVROZ,45.8222941077,5.05949629195,01,Ain,84,02450,02569
01230,01277,NIVOLLET MONTGRIFFON,45.9999448244,5.45847815374,01,Ain,84,21250,21637
01230,01279,ONCIEU,45.9651165469,5.47146617499,01,Ain,84,02860,02024
01510,01280,ORDONNAZ,45.8339690378,5.5395794296,01,Ain,84,01110,01012
01210,01281,ORNEX,46.2774557513,6.09454723599,01,Ain,84,06420,06009
01430,01282,OUTRIAZ,46.067796636,5.55697547429,01,Ain,84,08600,08183
01100,01283,OYONNAX,46.2605435859,5.65344320923,01,Ain,84,08350,08481
01100,01283,OYONNAX,46.2605435859,5.65344320923,01,Ain,84,14540,14176
01100,01283,OYONNAX,46.2605435859,5.65344320923,01,Ain,84,10500,10258
01190,01284,OZAN,46.3867168877,4.91805840196,01,Ain,84,03120,03138
01600,01285,PARCIEUX,45.9184267932,4.82747423402,01,Ain,84,25380,25095
01300,01286,PARVES ET NATTAGES,45.7437340183,5.73800737134,01,Ain,84,14410,14726
01300,01286,PARVES ET NATTAGES,45.7437340183,5.73800737134,01,Ain,84,06340,06054
01630,01288,PERON,46.1913554154,5.91968751164,01,Ain,84,21330,21451
01960,01289,PERONNAS,46.1711903413,5.21802169564,01,Ain,84,21440,21479
01800,01290,PEROUGES,45.8803945768,5.17955874977,01,Ain,84,16620,16222
01540,01291,PERREX,46.2465065604,4.97464940331,01,Ain,84,10700,10354
01430,01293,PEYRIAT,46.1498184067,5.50572312284,01,Ain,84,11240,11034
01300,01294,PEYRIEU,45.6762428663,5.67912809192,01,Ain,84,10200,10103
01140,01295,PEYZIEUX SUR SAONE,46.1226331853,4.82243226719,01,Ain,84,25250,25066
01270,01296,PIRAJOUX,46.385801285,5.27417594024,01,Ain,84,25490,25190
01120,01297,PIZAY,45.8928509581,5.08915465965,01,Ain,84,12720,12293
01130,01298,PLAGNE,46.1883038423,5.71763811249,01,Ain,84,22160,22025
01330,01299,LE PLANTAY,46.0230264227,5.08912046926,01,Ain,84,11250,11415
01310,01301,POLLIAT,46.2463108642,5.13794412439,01,Ain,84,02440,02345
01350,01302,POLLIEU,45.7965373468,5.74794515549,01,Ain,84,08260,08121
01450,01303,PONCIN,46.089530586,5.41681266947,01,Ain,84,25680,25279
01160,01304,PONT D AIN,46.0542077091,5.34703652618,01,Ain,84,03130,03014
01190,01305,PONT DE VAUX,46.4422864477,4.92862459427,01,Ain,84,22220,22152
01290,01306,PONT DE VEYLE,46.2637215091,4.88186068102,01,Ain,84,08450,08211
01460,01307,PORT,46.155963139,5.57615832883,01,Ain,84,14140,14750
01550,01308,POUGNY,46.1450914685,5.95100479291,01,Ain,84,15600,15181
01250,01309,POUILLAT,46.3219301481,5.42318000482,01,Ain,84,03390,03058
01300,01310,PREMEYZEL,45.6806263123,5.64396081449,01,Ain,84,15130,15074
